cfgid,usemsk,usepad,roi,interp,optim,linesearch,divini,srcgrd,ffdgrd,passdof,conjtot,levels,iters,steps,rejects,lastn,epsilon,sim,bins,padbins,window,ds,be,tp,vp,jaceps,gamma
0134,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.001,0,0,0.1,0.5
0135,true,true,Target,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.001,0,0,0.1,0.5
0136,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0.00001,0,0.0000001,0.3
0137,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0.0001,0,0.0000001,0.3
0138,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0.001,0,0.0000001,0.3
0139,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0.01,0,0.0000001,0.3
0140,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0.00001,0,0.001,0.3
0141,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0.0001,0,0.001,0.3
0142,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0.001,0,0.001,0.3
0143,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0.01,0,0.001,0.3
0144,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0.00001,0,0.01,0.3
0145,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0.0001,0,0.01,0.3
0146,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0.001,0,0.01,0.3
0147,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0.01,0,0.01,0.3
0148,true,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,100,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0.00001,0,0.1,0.3
